input,matched,l1,l2,website,hit_subsegment,latency_sec,status
立讯精密工业股份有限公司,立讯精密工业股份有限公司,工业,电子元件制造,,Y,8.042,ok
中航光电科技股份有限公司,中航光电,工业,电子元件制造,https://www.jonhon.cn,Y,10.904,ok
电连技术股份有限公司,电连技术,工业,电子元件制造,https://www.ectsz.com,Y,12.839,ok
长盈精密技术股份有限公司,长盈精密技术股份有限公司,工业,电子元件制造,,Y,16.69,ok
得润电子股份有限公司,得润电子股份有限公司,工业,电子元件制造,,Y,17.147,ok
胜蓝科技股份有限公司,胜蓝股份,工业,电子元件制造,https://www.jctc.com.cn,Y,11.5,ok
瑞可达连接系统股份有限公司,瑞可达连接系统股份有限公司,工业,电子元件制造,,Y,12.783,ok
徕木电子股份有限公司,徕木电子股份有限公司,工业,电子元件制造,,Y,15.194,ok
鼎通科技股份有限公司,鼎通科技股份有限公司,工业,电子元件制造,,Y,15.457,ok
意华控股集团股份有限公司,意华控股集团股份有限公司,工业,电子元件制造,,Y,13.313,ok
永贵电器股份有限公司,永贵电器股份有限公司,工业,电子元件制造,,Y,13.2,ok
贵州航天电器股份有限公司,航天电器,工业,电子元件制造,https://www.gzhtdq.com.cn,Y,12.221,ok
宏发科技股份有限公司,宏发股份,工业,电子元件制造,https://www.hongfa.cn,Y,9.292,ok
顺络电子股份有限公司,顺络电子股份有限公司,工业,电子元件制造,,Y,16.994,ok
风华高新科技股份有限公司,风华高新科技股份有限公司,工业,电子元件制造,,Y,15.707,ok
三环集团股份有限公司,三环集团股份有限公司,工业,电子元件制造,,Y,15.307,ok
火炬电子科技股份有限公司,火炬电子科技股份有限公司,工业,电子元件制造,,Y,15.668,ok
振华科技股份有限公司,振华科技股份有限公司,工业,电子元件制造,,Y,13.057,ok
法拉电子股份有限公司,法拉电子股份有限公司,工业,电子元件制造,,Y,13.308,ok
江海电容器股份有限公司,江海电容器股份有限公司,工业,电子元件制造,,Y,11.972,ok
艾华集团股份有限公司,艾华集团股份有限公司,工业,电子元件制造,,Y,14.569,ok
铜峰电子股份有限公司,铜峰电子股份有限公司,工业,电子元件制造,,Y,13.144,ok
泰晶科技股份有限公司,泰晶科技,工业,电子元件制造,https://www.sztkd.com,Y,13.979,ok
洁美科技股份有限公司,洁美科技股份有限公司,工业,电子元件制造,,Y,16.435,ok
生益科技股份有限公司,生益科技股份有限公司,工业,电子元件制造,,Y,11.565,ok
生益电子股份有限公司,生益电子,工业,电子元件制造,https://www.sye.com.cn,Y,11.821,ok
深南电路股份有限公司,深南电路,工业,电子元件制造,https://www.scc.com.cn,Y,11.701,ok
沪电股份有限公司,沪电股份有限公司,工业,电子元件制造,,Y,16.063,ok
景旺电子科技股份有限公司,景旺电子科技股份有限公司,工业,电子元件制造,,Y,13.177,ok
崇达技术股份有限公司,崇达技术,工业,电子元件制造,https://www.suntakpcb.com,Y,13.35,ok
兴森快捷电路科技股份有限公司,兴森快捷电路科技股份有限公司,工业,电子元件制造,,Y,19.662,ok
鹏鼎控股(深圳)股份有限公司,鹏鼎控股(深圳)股份有限公司,工业,电子元件制造,,Y,5.713,ok
东山精密制造股份有限公司,苏州东山精密制造股份有限公司,工业,电子元件制造,,Y,4.813,ok
奥士康科技股份有限公司,奥士康,工业,电子元件制造,https://www.askpcb.com,Y,12.553,ok
明阳电路科技股份有限公司,明阳电路科技股份有限公司,工业,电子元件制造,,Y,16.121,ok
超声电子股份有限公司,超声电子股份有限公司,工业,电子元件制造,,Y,13.814,ok
天津普林电路股份有限公司,天津普林电路股份有限公司,工业,电子元件制造,,Y,13.268,ok
金禄电子科技股份有限公司,金禄电子,工业,电子元件制造,https://www.camelotpcb.com,Y,13.216,ok
方正科技集团股份有限公司,方正科技,工业,电子元件制造,https://www.foundertech.com,Y,8.384,ok
依顿电子科技股份有限公司,依顿电子科技股份有限公司,工业,电子元件制造,,Y,13.461,ok
公牛集团股份有限公司,公牛集团,工业,开关与低压电器,https://www.gongniu.cn,Y,12.66,ok
正泰电器股份有限公司,浙江正泰电器股份有限公司,工业,开关与低压电器,,Y,4.829,ok
良信电器股份有限公司,良信电器股份有限公司,工业,开关与低压电器,,Y,14.368,ok
天正电气股份有限公司,天正电气股份有限公司,工业,开关与低压电器,,Y,15.678,ok
宏业电子元件有限公司,宏业电子元件有限公司,工业,电子元件制造,,Y,12.548,ok
深圳市长盈精密技术股份有限公司,深圳市长盈精密技术股份有限公司,工业,电子元件制造,,Y,14.738,ok
深圳市得润电子股份有限公司,深圳市得润电子股份有限公司,工业,电子元件制造,,Y,13.653,ok
苏州瑞可达连接系统股份有限公司,瑞可达,工业,电子元件制造,https://www.recodeal.com,Y,10.362,ok
中山市公牛电器有限公司,中山市公牛电器有限公司,工业,开关与低压电器,,Y,14.735,ok
宁波公牛电器有限公司,宁波公牛电器有限公司,工业,开关与低压电器,,Y,14.262,ok
