input,matched,l1,l2,website,hit_eda,latency_sec,status
北京华大九天科技股份有限公司,北京华大九天科技股份有限公司,电子信息,半导体EDA,,Y,7.756,ok
上海概伦电子股份有限公司,概伦电子,电子信息,半导体EDA,https://www.primarius-tech.com,Y,4.209,ok
上海广立微电子股份有限公司,上海广立微电子股份有限公司,电子信息,半导体EDA,,Y,7.987,ok
上海国微思尔芯技术股份有限公司,上海国微思尔芯技术股份有限公司,电子信息,半导体EDA,,Y,7.735,ok
芯华章科技股份有限公司,芯华章科技股份有限公司,电子信息,半导体EDA,,Y,10.382,ok
北京芯愿景软件技术股份有限公司,北京芯愿景软件技术股份有限公司,电子信息,半导体EDA,,Y,6.991,ok
北京行芯科技有限公司,北京行芯科技有限公司,电子信息,半导体EDA,,Y,5.404,ok
上海合见工业软件集团有限公司,上海合见工业软件集团有限公司,电子信息,半导体EDA,,Y,4.368,ok
北京东方晶源微电子科技股份有限公司,北京东方晶源微电子科技股份有限公司,电子信息,半导体EDA,,Y,5.754,ok
上海阿卡思微电子技术有限公司,上海阿卡思微电子技术有限公司,电子信息,半导体EDA,,Y,4.818,ok
苏州芯和半导体科技股份有限公司,苏州芯和半导体科技股份有限公司,电子信息,半导体EDA,,Y,6.625,ok
南京集成电路设计服务产业创新中心,南京集成电路设计服务产业创新中心,电子信息,半导体EDA,,Y,6.938,ok
Empyrean Software,EmpyreanSoftware有限公司,电子信息,半导体EDA,,Y,6.645,ok
Primarius Technologies,PrimariusTechnologies有限公司,电子信息,半导体EDA,,Y,5.006,ok
"Xpeedic Technology Co., Ltd.","XpeedicTechnologyCo.,Ltd.有限公司",电子信息,半导体EDA,,Y,4.373,ok
Synopsys Inc.,SynopsysInc.有限公司,电子信息,半导体EDA,,Y,5.545,ok
"Cadence Design Systems, Inc.","CadenceDesignSystems,Inc.有限公司",电子信息,半导体EDA,,Y,4.951,ok
Siemens EDA,SiemensEDA有限公司,电子信息,半导体EDA,,Y,5.177,ok
Mentor Graphics Corporation,MentorGraphicsCorporation有限公司,电子信息,半导体EDA,,Y,6.246,ok
"ANSYS, Inc.","ANSYS,Inc.有限公司",电子信息,半导体EDA,,Y,4.761,ok
"Keysight Technologies, Inc.","KeysightTechnologies,Inc.有限公司",电子信息,半导体EDA,,Y,5.243,ok
"Silvaco Group, Inc.","SilvacoGroup,Inc.有限公司",电子信息,半导体EDA,,Y,5.245,ok
"Aldec, Inc.","Aldec,Inc.有限公司",电子信息,半导体EDA,,Y,4.918,ok
"Cliosoft, Inc.","Cliosoft,Inc.有限公司",电子信息,半导体EDA,,Y,5.363,ok
MunEDA GmbH,MunEDAGmbH有限公司,电子信息,半导体EDA,,Y,4.765,ok
"Real Intent, Inc.","RealIntent,Inc.有限公司",电子信息,半导体EDA,,Y,5.113,ok
"Agnisys, Inc.","Agnisys,Inc.有限公司",电子信息,半导体EDA,,Y,6.621,ok
OneSpin Solutions GmbH,OneSpinSolutionsGmbH有限公司,电子信息,半导体EDA,,Y,6.92,ok
"Apache Design Solutions, Inc.","ApacheDesignSolutions,Inc.有限公司",电子信息,半导体EDA,,Y,4.441,ok
Zuken Inc.,ZukenInc.有限公司,电子信息,半导体EDA,,Y,6.104,ok
